group,variant,placement,round,operations,elapsed_ns,ns_per_op,ops_per_second,producer_full,consumer_empty
counters,same_counter,different_cores,12,5000000,178117691.000000,35.623538,28071327.288877,0,0
counters,shared_line,smt_siblings,12,5000000,46835372.000000,9.367074,106756918.681034,0,0
queue,shared_cached,different_cores,12,5000000,103812433.000000,20.762487,48163787.857664,26426,383183
queue,separated_uncached,different_cores,12,5000000,88960864.000000,17.792173,56204490.100276,10084,272486
queue,shared_uncached,different_cores,12,5000000,77305046.000000,15.461009,64678830.926509,438354,131993
counters,shared_line,smt_siblings,13,5000000,46785336.000000,9.357067,106871093.113449,0,0
counters,same_counter,different_cores,13,5000000,176565149.000000,35.313030,28318159.208191,0,0
queue,separated_cached,different_cores,13,5000000,30131643.000000,6.026329,165938511.882674,14639,44625
counters,separate_lines,different_cores,13,5000000,21290307.000000,4.258061,234848656.715002,0,0
counters,shared_line,different_cores,13,5000000,177453878.000000,35.490776,28176335.487016,0,0
queue,separated_uncached,different_cores,13,5000000,88939484.000000,17.787897,56218000.994924,0,276271
queue,shared_uncached,different_cores,13,5000000,93665828.000000,18.733166,53381260.879902,40435,340849
counters,single_writer,one_thread,13,5000000,21064826.000000,4.212965,237362511.325752,0,0
queue,shared_cached,different_cores,13,5000000,106672854.000000,21.334571,46872281.114744,4712,408734
queue,shared_uncached,different_cores,14,5000000,84136896.000000,16.827379,59426960.557233,274481,221928
queue,shared_cached,different_cores,14,5000000,105828448.000000,21.165690,47246275.406023,21352,382418
counters,shared_line,smt_siblings,14,5000000,46838677.000000,9.367735,106749385.769372,0,0
counters,shared_line,different_cores,14,5000000,177228521.000000,35.445704,28212163.436155,0,0
counters,separate_lines,different_cores,14,5000000,21067421.000000,4.213484,237333273.968370,0,0
queue,separated_uncached,different_cores,14,5000000,89048351.000000,17.809670,56149271.085323,2604,281824
queue,separated_cached,different_cores,14,5000000,20631573.000000,4.126315,242347008.635745,3557,19013
counters,single_writer,one_thread,14,5000000,21287141.000000,4.257428,234883585.353242,0,0
counters,same_counter,different_cores,14,5000000,177349877.000000,35.469975,28192858.571873,0,0
